Sample in Buffer,Sample in Window,TRIGGER,i_system_wrapper/system_i/axi_pwm_custom_xcr_pwm_led_0,i_system_wrapper/system_i/axi_pwm_custom_xcr_pwm_led_1,i_system_wrapper/system_i/axi_pwm_custom_xcr_pwm_led_2,i_system_wrapper/system_i/axi_pwm_custom_xcr_pwm_led_3,i_system_wrapper/system_i/axi_pwm_custom_xcr_pwm_led_4,i_system_wrapper/system_i/axi_pwm_custom_xcr_pwm_led_5
259,3,0,1,1,1,1,1,1
260,4,0,1,1,1,1,1,1
261,5,0,1,1,1,1,1,1
262,6,0,1,1,1,1,1,1
263,7,0,1,1,1,1,1,1
264,8,0,1,1,1,1,1,1
265,9,0,1,1,1,1,1,1
266,10,0,1,1,1,1,1,1
267,11,0,1,1,1,1,1,1
268,12,0,1,1,1,1,1,1
269,13,0,1,1,1,1,1,1
270,14,0,1,1,1,1,1,1
271,15,0,1,1,1,1,1,1
272,16,0,1,1,1,1,1,1
273,17,0,1,1,1,1,1,1
274,18,0,1,1,1,1,1,1
275,19,0,1,1,1,1,1,1
276,20,0,1,1,1,1,1,1
277,21,0,1,1,1,1,1,1
278,22,0,1,1,1,1,1,1
279,23,0,1,1,0,1,1,1
280,24,0,1,1,0,1,1,1
281,25,0,1,1,0,1,1,1
282,26,0,1,1,0,1,1,1
283,27,0,1,1,0,1,1,1
284,28,0,1,1,0,1,1,1
285,29,0,1,1,0,1,1,1
286,30,0,1,1,0,1,1,1
287,31,0,1,1,0,1,1,0
288,32,0,1,1,0,1,1,0
289,33,0,1,1,0,1,1,0
290,34,0,1,1,0,1,1,0
291,35,0,1,1,0,1,1,0
292,36,0,1,1,0,1,1,0
293,37,0,1,1,0,1,1,0
294,38,0,1,1,0,1,1,0
295,39,0,1,1,0,1,1,0
296,40,0,1,1,0,1,1,0
297,41,0,1,1,0,1,1,0
298,42,0,1,1,0,1,1,0
299,43,0,1,1,0,1,1,0
300,44,0,1,1,0,1,1,0
301,45,0,1,1,0,1,1,0
302,46,0,1,1,0,1,1,0
303,47,0,1,1,0,1,1,0
304,48,0,1,1,0,1,1,0
305,49,0,1,1,0,1,1,0
306,50,0,1,1,0,1,1,0
307,51,0,1,1,0,1,1,0
308,52,0,1,1,0,1,1,0
309,53,0,1,1,0,1,1,0
310,54,0,1,1,0,1,1,0
311,55,0,1,1,0,1,1,0
312,56,0,1,1,0,1,1,0
313,57,0,1,1,0,1,1,0
314,58,0,1,1,0,1,1,0
315,59,0,1,1,0,1,1,0
316,60,0,1,1,0,1,1,0
317,61,0,1,1,0,1,1,0
318,62,0,1,1,0,1,1,0
319,63,0,1,1,0,1,1,0
320,64,0,1,1,0,1,1,0
321,65,0,1,1,0,1,1,0
322,66,0,1,1,0,1,1,0
323,67,0,1,1,0,1,1,0
324,68,0,1,1,0,1,1,0
325,69,0,1,1,0,1,1,0
326,70,0,1,1,0,1,1,0
327,71,0,1,1,0,1,1,0
328,72,0,1,1,0,1,1,0
329,73,0,1,1,0,1,1,0
330,74,0,1,1,0,1,1,0
331,75,0,1,1,0,1,1,0
332,76,0,1,1,0,1,1,0
333,77,0,1,1,0,1,1,0
334,78,0,1,1,0,1,1,0
335,79,0,1,1,0,1,1,0
336,80,0,1,1,0,1,1,0
337,81,0,1,1,0,1,1,0
338,82,0,1,1,0,1,1,0
339,83,0,1,1,0,1,1,0
340,84,0,1,1,0,1,1,0
341,85,0,1,1,0,1,1,0
342,86,0,1,1,0,1,1,0
343,87,0,1,1,0,1,1,0
344,88,0,1,1,0,1,1,0
345,89,0,1,1,0,1,1,0
346,90,0,1,1,0,1,1,0
347,91,0,1,1,0,1,1,0
348,92,0,1,1,0,1,1,0
349,93,0,1,1,0,1,1,0
350,94,0,1,1,0,1,1,0
351,95,0,1,1,0,1,1,0
352,96,0,1,1,0,1,1,0
353,97,0,1,1,0,1,1,0
354,98,0,1,1,0,1,1,0
355,99,0,1,1,0,1,1,0
356,100,0,1,1,0,1,1,0
357,101,0,1,1,0,1,1,0
358,102,0,1,1,0,1,1,0
359,103,0,1,1,0,1,1,0
360,104,0,1,1,0,1,1,0
361,105,0,1,1,0,1,1,0
362,106,0,1,1,0,1,1,0
363,107,0,1,1,0,1,1,0
364,108,0,1,1,0,1,1,0
365,109,0,1,1,0,1,1,0
366,110,0,1,1,0,1,1,0
367,111,0,1,1,0,1,1,0
368,112,0,1,1,0,1,1,0
369,113,0,1,1,0,1,1,0
370,114,0,1,1,0,1,1,0
371,115,0,1,0,0,1,1,0
372,116,0,1,0,0,1,1,0
373,117,0,1,0,0,1,1,0
374,118,0,1,0,0,1,1,0
375,119,0,1,0,0,1,1,0
376,120,0,1,0,0,1,1,0
377,121,0,1,0,0,1,1,0
378,122,0,1,0,0,1,1,0
379,123,0,1,0,0,1,1,0
380,124,0,1,0,0,1,1,0
381,125,0,1,0,0,1,1,0
382,126,0,1,0,0,1,1,0
383,127,0,1,0,0,1,1,0
384,128,0,0,0,0,1,1,0
385,129,0,0,0,0,1,1,0
386,130,0,0,0,0,1,1,0
387,131,0,0,0,0,1,1,0
388,132,0,0,0,0,1,1,0
389,133,0,0,0,0,1,1,0
390,134,0,0,0,0,1,1,0
391,135,0,0,0,0,1,1,0
392,136,0,0,0,0,1,1,0
393,137,0,0,0,0,1,1,0
394,138,0,0,0,0,1,1,0
395,139,0,0,0,0,1,1,0
396,140,0,0,0,0,1,1,0
397,141,0,0,0,0,1,1,0
398,142,0,0,0,0,1,1,0
399,143,0,0,0,0,1,1,0
400,144,0,0,0,0,1,1,0
401,145,0,0,0,0,1,1,0
402,146,0,0,0,0,1,1,0
403,147,0,0,0,0,1,1,0
404,148,0,0,0,0,1,1,0
405,149,0,0,0,0,1,1,0
406,150,0,0,0,0,1,1,0
407,151,0,0,0,0,1,1,0
408,152,0,0,0,0,1,1,0
409,153,0,0,0,0,1,1,0
410,154,0,0,0,0,1,1,0
411,155,0,0,0,0,1,1,0
412,156,0,0,0,0,1,1,0
413,157,0,0,0,0,1,1,0
414,158,0,0,0,0,1,1,0
415,159,0,0,0,0,1,1,0
416,160,0,0,0,0,1,1,0
417,161,0,0,0,0,1,1,0
418,162,0,0,0,0,1,1,0
419,163,0,0,0,0,1,1,0
420,164,0,0,0,0,1,1,0
421,165,0,0,0,0,1,1,0
422,166,0,0,0,0,1,1,0
423,167,0,0,0,0,1,1,0
424,168,0,0,0,0,1,1,0
425,169,0,0,0,0,1,1,0
426,170,0,0,0,0,1,1,0
427,171,0,0,0,0,1,1,0
428,172,0,0,0,0,0,1,0
429,173,0,0,0,0,0,1,0
430,174,0,0,0,0,0,1,0
431,175,0,0,0,0,0,1,0
432,176,0,0,0,0,0,1,0
433,177,0,0,0,0,0,1,0
434,178,0,0,0,0,0,1,0
435,179,0,0,0,0,0,1,0
436,180,0,0,0,0,0,1,0
437,181,0,0,0,0,0,1,0
438,182,0,0,0,0,0,1,0
439,183,0,0,0,0,0,1,0
440,184,0,0,0,0,0,1,0
441,185,0,0,0,0,0,1,0
442,186,0,0,0,0,0,1,0
443,187,0,0,0,0,0,0,0
444,188,0,0,0,0,0,0,0
445,189,0,0,0,0,0,0,0
446,190,0,0,0,0,0,0,0
447,191,0,0,0,0,0,0,0
448,192,0,0,0,0,0,0,0
449,193,0,0,0,0,0,0,0
450,194,0,0,0,0,0,0,0
451,195,0,0,0,0,0,0,0
452,196,0,0,0,0,0,0,0
453,197,0,0,0,0,0,0,0
454,198,0,0,0,0,0,0,0
455,199,0,0,0,0,0,0,0
456,200,0,0,0,0,0,0,0
457,201,0,0,0,0,0,0,0
458,202,0,0,0,0,0,0,0
459,203,0,0,0,0,0,0,0
460,204,0,0,0,0,0,0,0
461,205,0,0,0,0,0,0,0
462,206,0,0,0,0,0,0,0
463,207,0,0,0,0,0,0,0
464,208,0,0,0,0,0,0,0
465,209,0,0,0,0,0,0,0
466,210,0,0,0,0,0,0,0
467,211,0,0,0,0,0,0,0
468,212,0,0,0,0,0,0,0
469,213,0,0,0,0,0,0,0
470,214,0,0,0,0,0,0,0
471,215,0,0,0,0,0,0,0
472,216,0,0,0,0,0,0,0
473,217,0,0,0,0,0,0,0
474,218,0,0,0,0,0,0,0
475,219,0,0,0,0,0,0,0
476,220,0,0,0,0,0,0,0
477,221,0,0,0,0,0,0,0
478,222,0,0,0,0,0,0,0
479,223,0,0,0,0,0,0,0
480,224,0,0,0,0,0,0,0
481,225,0,0,0,0,0,0,0
482,226,0,0,0,0,0,0,0
483,227,0,0,0,0,0,0,0
484,228,0,0,0,0,0,0,0
485,229,0,0,0,0,0,0,0
486,230,0,0,0,0,0,0,0
487,231,0,0,0,0,0,0,0
488,232,0,0,0,0,0,0,0
489,233,0,0,0,0,0,0,0
490,234,0,0,0,0,0,0,0
491,235,0,0,0,0,0,0,0
492,236,0,0,0,0,0,0,0
493,237,0,0,0,0,0,0,0
494,238,0,0,0,0,0,0,0
495,239,0,0,0,0,0,0,0
496,240,0,0,0,0,0,0,0
497,241,0,0,0,0,0,0,0
498,242,0,0,0,0,0,0,0
499,243,0,0,0,0,0,0,0
500,244,0,0,0,0,0,0,0
501,245,0,0,0,0,0,0,0
502,246,0,0,0,0,0,0,0
503,247,0,0,0,0,0,0,0
504,248,0,0,0,0,0,0,0
505,249,0,0,0,0,0,0,0
506,250,0,0,0,0,0,0,0
507,251,0,0,0,0,0,0,0
508,252,0,0,0,0,0,0,0
509,253,0,0,0,0,0,0,0
510,254,0,0,0,0,0,0,0
511,255,0,0,0,0,0,0,0
512,0,1,1,1,1,1,1,1
513,1,0,1,1,1,1,1,1
514,2,0,1,1,1,1,1,1
515,3,0,1,1,1,1,1,1
516,4,0,1,1,1,1,1,1
517,5,0,1,1,1,1,1,1
518,6,0,1,1,1,1,1,1
519,7,0,1,1,1,1,1,1
520,8,0,1,1,1,1,1,1
521,9,0,1,1,1,1,1,1
522,10,0,1,1,1,1,1,1
523,11,0,1,1,1,1,1,1
524,12,0,1,1,1,1,1,1
525,13,0,1,1,1,1,1,1
526,14,0,1,1,1,1,1,1
527,15,0,1,1,1,1,1,1
528,16,0,1,1,1,1,1,1
529,17,0,1,1,1,1,1,1
530,18,0,1,1,1,1,1,1
531,19,0,1,1,1,1,1,1
532,20,0,1,1,1,1,1,1
533,21,0,1,1,1,1,1,1
534,22,0,1,1,1,1,1,1
535,23,0,1,1,0,1,1,1
536,24,0,1,1,0,1,1,1
537,25,0,1,1,0,1,1,1
538,26,0,1,1,0,1,1,1
539,27,0,1,1,0,1,1,1
540,28,0,1,1,0,1,1,1
541,29,0,1,1,0,1,1,1
542,30,0,1,1,0,1,1,1
543,31,0,1,1,0,1,1,0
544,32,0,1,1,0,1,1,0
545,33,0,1,1,0,1,1,0
546,34,0,1,1,0,1,1,0
547,35,0,1,1,0,1,1,0
548,36,0,1,1,0,1,1,0
549,37,0,1,1,0,1,1,0
550,38,0,1,1,0,1,1,0
551,39,0,1,1,0,1,1,0
552,40,0,1,1,0,1,1,0
553,41,0,1,1,0,1,1,0
554,42,0,1,1,0,1,1,0
555,43,0,1,1,0,1,1,0
556,44,0,1,1,0,1,1,0
557,45,0,1,1,0,1,1,0
558,46,0,1,1,0,1,1,0
559,47,0,1,1,0,1,1,0
560,48,0,1,1,0,1,1,0
561,49,0,1,1,0,1,1,0
562,50,0,1,1,0,1,1,0
563,51,0,1,1,0,1,1,0
564,52,0,1,1,0,1,1,0
565,53,0,1,1,0,1,1,0
566,54,0,1,1,0,1,1,0
567,55,0,1,1,0,1,1,0
568,56,0,1,1,0,1,1,0
569,57,0,1,1,0,1,1,0
570,58,0,1,1,0,1,1,0
571,59,0,1,1,0,1,1,0
572,60,0,1,1,0,1,1,0
573,61,0,1,1,0,1,1,0
574,62,0,1,1,0,1,1,0
575,63,0,1,1,0,1,1,0
576,64,0,1,1,0,1,1,0
577,65,0,1,1,0,1,1,0
578,66,0,1,1,0,1,1,0
579,67,0,1,1,0,1,1,0
580,68,0,1,1,0,1,1,0
581,69,0,1,1,0,1,1,0
582,70,0,1,1,0,1,1,0
583,71,0,1,1,0,1,1,0
584,72,0,1,1,0,1,1,0
585,73,0,1,1,0,1,1,0
586,74,0,1,1,0,1,1,0
587,75,0,1,1,0,1,1,0
588,76,0,1,1,0,1,1,0
589,77,0,1,1,0,1,1,0
590,78,0,1,1,0,1,1,0
591,79,0,1,1,0,1,1,0
592,80,0,1,1,0,1,1,0
593,81,0,1,1,0,1,1,0
594,82,0,1,1,0,1,1,0
595,83,0,1,1,0,1,1,0
596,84,0,1,1,0,1,1,0
597,85,0,1,1,0,1,1,0
598,86,0,1,1,0,1,1,0
599,87,0,1,1,0,1,1,0
600,88,0,1,1,0,1,1,0
601,89,0,1,1,0,1,1,0
602,90,0,1,1,0,1,1,0
603,91,0,1,1,0,1,1,0
604,92,0,1,1,0,1,1,0
605,93,0,1,1,0,1,1,0
606,94,0,1,1,0,1,1,0
607,95,0,1,1,0,1,1,0
608,96,0,1,1,0,1,1,0
609,97,0,1,1,0,1,1,0
610,98,0,1,1,0,1,1,0
611,99,0,1,1,0,1,1,0
612,100,0,1,1,0,1,1,0
613,101,0,1,1,0,1,1,0
614,102,0,1,1,0,1,1,0
615,103,0,1,1,0,1,1,0
616,104,0,1,1,0,1,1,0
617,105,0,1,1,0,1,1,0
618,106,0,1,1,0,1,1,0
619,107,0,1,1,0,1,1,0
620,108,0,1,1,0,1,1,0
621,109,0,1,1,0,1,1,0
622,110,0,1,1,0,1,1,0
623,111,0,1,1,0,1,1,0
624,112,0,1,1,0,1,1,0
625,113,0,1,1,0,1,1,0
626,114,0,1,1,0,1,1,0
627,115,0,1,0,0,1,1,0
628,116,0,1,0,0,1,1,0
629,117,0,1,0,0,1,1,0
630,118,0,1,0,0,1,1,0
631,119,0,1,0,0,1,1,0
632,120,0,1,0,0,1,1,0
633,121,0,1,0,0,1,1,0
634,122,0,1,0,0,1,1,0
635,123,0,1,0,0,1,1,0
636,124,0,1,0,0,1,1,0
637,125,0,1,0,0,1,1,0
638,126,0,1,0,0,1,1,0
639,127,0,1,0,0,1,1,0
640,128,0,0,0,0,1,1,0
641,129,0,0,0,0,1,1,0
642,130,0,0,0,0,1,1,0
643,131,0,0,0,0,1,1,0
644,132,0,0,0,0,1,1,0
645,133,0,0,0,0,1,1,0
646,134,0,0,0,0,1,1,0
647,135,0,0,0,0,1,1,0
648,136,0,0,0,0,1,1,0
649,137,0,0,0,0,1,1,0
650,138,0,0,0,0,1,1,0
651,139,0,0,0,0,1,1,0
652,140,0,0,0,0,1,1,0
653,141,0,0,0,0,1,1,0
654,142,0,0,0,0,1,1,0
655,143,0,0,0,0,1,1,0
656,144,0,0,0,0,1,1,0
657,145,0,0,0,0,1,1,0
658,146,0,0,0,0,1,1,0
659,147,0,0,0,0,1,1,0
660,148,0,0,0,0,1,1,0
661,149,0,0,0,0,1,1,0
662,150,0,0,0,0,1,1,0
663,151,0,0,0,0,1,1,0
664,152,0,0,0,0,1,1,0
665,153,0,0,0,0,1,1,0
666,154,0,0,0,0,1,1,0
667,155,0,0,0,0,1,1,0
668,156,0,0,0,0,1,1,0
669,157,0,0,0,0,1,1,0
670,158,0,0,0,0,1,1,0
671,159,0,0,0,0,1,1,0
672,160,0,0,0,0,1,1,0
673,161,0,0,0,0,1,1,0
674,162,0,0,0,0,1,1,0
675,163,0,0,0,0,1,1,0
676,164,0,0,0,0,1,1,0
677,165,0,0,0,0,1,1,0
678,166,0,0,0,0,1,1,0
679,167,0,0,0,0,1,1,0
680,168,0,0,0,0,1,1,0
681,169,0,0,0,0,1,1,0
682,170,0,0,0,0,1,1,0
683,171,0,0,0,0,1,1,0
684,172,0,0,0,0,0,1,0
685,173,0,0,0,0,0,1,0
686,174,0,0,0,0,0,1,0
687,175,0,0,0,0,0,1,0
688,176,0,0,0,0,0,1,0
689,177,0,0,0,0,0,1,0
690,178,0,0,0,0,0,1,0
691,179,0,0,0,0,0,1,0
692,180,0,0,0,0,0,1,0
693,181,0,0,0,0,0,1,0
694,182,0,0,0,0,0,1,0
695,183,0,0,0,0,0,1,0
696,184,0,0,0,0,0,1,0
697,185,0,0,0,0,0,1,0
698,186,0,0,0,0,0,1,0
699,187,0,0,0,0,0,0,0
700,188,0,0,0,0,0,0,0
701,189,0,0,0,0,0,0,0
702,190,0,0,0,0,0,0,0
703,191,0,0,0,0,0,0,0
704,192,0,0,0,0,0,0,0
705,193,0,0,0,0,0,0,0
706,194,0,0,0,0,0,0,0
707,195,0,0,0,0,0,0,0
708,196,0,0,0,0,0,0,0
709,197,0,0,0,0,0,0,0
710,198,0,0,0,0,0,0,0
711,199,0,0,0,0,0,0,0
712,200,0,0,0,0,0,0,0
713,201,0,0,0,0,0,0,0
714,202,0,0,0,0,0,0,0
715,203,0,0,0,0,0,0,0
716,204,0,0,0,0,0,0,0
717,205,0,0,0,0,0,0,0
718,206,0,0,0,0,0,0,0
719,207,0,0,0,0,0,0,0
720,208,0,0,0,0,0,0,0
721,209,0,0,0,0,0,0,0
722,210,0,0,0,0,0,0,0
723,211,0,0,0,0,0,0,0
724,212,0,0,0,0,0,0,0
725,213,0,0,0,0,0,0,0
726,214,0,0,0,0,0,0,0
727,215,0,0,0,0,0,0,0
728,216,0,0,0,0,0,0,0
729,217,0,0,0,0,0,0,0
730,218,0,0,0,0,0,0,0
731,219,0,0,0,0,0,0,0
732,220,0,0,0,0,0,0,0
733,221,0,0,0,0,0,0,0
734,222,0,0,0,0,0,0,0
735,223,0,0,0,0,0,0,0
736,224,0,0,0,0,0,0,0
737,225,0,0,0,0,0,0,0
738,226,0,0,0,0,0,0,0
739,227,0,0,0,0,0,0,0
740,228,0,0,0,0,0,0,0
741,229,0,0,0,0,0,0,0
742,230,0,0,0,0,0,0,0
743,231,0,0,0,0,0,0,0
744,232,0,0,0,0,0,0,0
745,233,0,0,0,0,0,0,0
746,234,0,0,0,0,0,0,0
747,235,0,0,0,0,0,0,0
748,236,0,0,0,0,0,0,0
